"id","time","bound","percNotch"
"emb1","26hpf","r2r3",14.28571429
"emb2","26hpf","r2r3",13.79310345
"emb3","26hpf","r2r3",12.28070175
"emb4","26hpf","r2r3",2.222222222
"emb5","26hpf","r2r3",3.50877193
"emb1","26hpf","r3r4",14.28571429
"emb2","26hpf","r3r4",15.78947368
"emb3","26hpf","r3r4",15.90909091
"emb4","26hpf","r3r4",8.333333333
"emb5","26hpf","r3r4",8.888888889
"emb1","26hpf","r4r5",11.76470588
"emb2","26hpf","r4r5",2.941176471
"emb3","26hpf","r4r5",11.62790698
"emb4","26hpf","r4r5",0
"emb5","26hpf","r4r5",7.317073171
"emb1","26hpf","r5r6",18.18181818
"emb2","26hpf","r5r6",2.127659574
"emb3","26hpf","r5r6",4.87804878
"emb4","26hpf","r5r6",6.25
"emb5","26hpf","r5r6",6.896551724
"emb1","36hpf","r2r3",71.30434783
"emb2","36hpf","r2r3",65.26315789
"emb3","36hpf","r2r3",72.4137931
"emb4","36hpf","r2r3",55.91397849
"emb5","36hpf","r2r3","NA"
"emb1","36hpf","r3r4",68.96551724
"emb2","36hpf","r3r4",56.62650602
"emb3","36hpf","r3r4",61.01694915
"emb4","36hpf","r3r4",44.31818182
"emb5","36hpf","r3r4","NA"
"emb1","36hpf","r4r5",49.39759036
"emb2","36hpf","r4r5",56.03448276
"emb3","36hpf","r4r5",61.15702479
"emb4","36hpf","r4r5",52.38095238
"emb5","36hpf","r4r5","NA"
"emb1","36hpf","r5r6",73.78640777
"emb2","36hpf","r5r6",60.17699115
"emb3","36hpf","r5r6",53.65853659
"emb4","36hpf","r5r6",67.52136752
"emb5","36hpf","r5r6","NA"
